norm_title,critics_consensus,tomatometer_rating
oliver twist,"David Lean brings the grimy beauty of Charles Dickens' Victorian England to vivid cinematic life in Oliver Twist, a marvelous adaptation that benefits from Guy Green's haunting cinematography and Alec Guinness' off-kilter performance.",100.0
the purge,"Half social allegory, half home-invasion thriller, The Purge attempts to make an intelligent point, but ultimately devolves into numbing violence and tired clichés.",40.0
stir of echoes,Kevin Bacon's acting is so genuine that it's creepy and director David Keopp knows how to create true suspense.,67.0
stealth,"Loud, preposterous, and predictable, Stealth borrows heavily and unsucessfully from Top Gun and 2001.",12.0
bad words,"Scabrously funny and gleefully amoral, Bad Words boasts one of Jason Bateman's best performances -- and proves he's a talented director in the bargain.",65.0
austin powers international man of mystery,"A light and goofy comedy which provides laughs, largely due to performances and screenwriting by Myers.",71.0
the package,The Package learns the hard way that a penis joke does not a movie make.,42.0
a good old fashioned orgy,"Its titillating title promises ribald laughs, but the lazily written, indifferently acted, and only sporadically funny A Good Old Fashioned Orgy fails to consummate.",35.0
antebellum,"Antebellum fails to connect its images with any meaning, making for a largely unpleasant experience lacking any substantial scares.",28.0
before night falls,"An impressionistic, fragmented look at Reinaldo Arenas, Before Night Falls' imagery manages to evoke a sense of the writer's artistry, and Bardem's strong performance holds the film together. Finally, a biopic done well.",73.0
bad santa,"A gloriously rude and gleefully offensive black comedy, Bad Santa isn't for everyone, but grinches will find it uproariously funny.",79.0
serving sara,"A romantic comedy that's neither funny nor particularly romantic, Serving Sara is a forgettable time waster.",4.0
american pie 2,"Being a sequel, American Pie 2 doesn't retain the freshness of the original, nor is it as funny.",52.0
the flood,"Imperfect yet ultimately honorable, The Flood takes an empathetic look at the plight of asylum seekers in the 21st century.",68.0
most beautiful island,"Most Beautiful Island plunges audiences into a little-seen sector of society, with writer-director Ana Asensio's fearless performance leading the way.",93.0
moms night out,"Cheap-looking, unfunny, and kind of sexist to boot, Moms' Night Out is a disappointment from start to finish.",20.0
rudy,"Though undeniably sentimental and predictable, Rudy succeeds with an uplifting spirit and determination.",78.0
the science of sleep,"Lovely and diffuse, Sleep isn't as immediately absorbing as Gondry's previous work, but its messy beauty is its own reward.",70.0
resident evil retribution,Resident Evil: Retribution offers everything one might reasonably expect from the fifth installment in a heavily action-dependent franchise -- which means very little beyond stylishly hollow CGI-enhanced set pieces.,29.0
the good shepherd,"Though ambitious and confidently directed by Robert De Niro, The Good Shepherd is ultimately a tedious drama that holds few surprises and succumbs to self-seriousness.",55.0
brick,This entertaining homage to noirs past has been slickly and compellingly updated to a contemporary high school setting.,80.0
tropa de elite the elite squad,"Brutal, action heavy, Brazilian cop film with a pointless voiceover. Lacks flair, overdoes the violence and is never quite sure where its morals lie.",53.0
derailed,"With miscast stars, a ludicrous plot and an obvious twist, Derailed embodies its name all too aptly.",21.0
shooting the mafia,"It may not peer as closely or inquisitively as it could have, but Shooting the Mafia pays affectionate tribute to an important -- and fascinating -- subject.",74.0
couples retreat,"Despite a talented cast and some reliably pleasant interplay between Jon Favreau and Vince Vaughn, Couples Retreat leaves viewers stranded in an arid, mirthless comedy.",10.0
the twilight saga breaking dawn part 1,"Slow, joyless, and loaded with unintentionally humorous moments, Breaking Dawn Part 1 may satisfy the Twilight faithful, but it's strictly for fans of the franchise.",25.0
meeting resistance,Meeting Resistance offers a nuanced ground-level view of war's effects on an invaded people -- and the ways in which they decide to fight back.,82.0
lone survivor,"A true account of military courage and survival, Lone Survivor wields enough visceral power to mitigate its heavy-handed jingoism.",75.0
central station central do brasil,Director Salles transcends road-movie clichés and crafts a film that is as moving as it is universal.,94.0
the christmas chronicles,Viewers seeking a fresh holiday viewing option -- or those simply in the mood for Santa Kurt Russell -- should find The Christmas Chronicles well worth a yuletide stream.,67.0
daddys home,"Will Ferrell and Mark Wahlberg have proven comedic chemistry, but Daddy's Home suffers from a dearth of genuinely funny ideas - and lacks enough guts or imagination to explore the satirical possibilities of its premise.",31.0
cbgb,Hey! Ho! No no!,7.0
first they killed my father,"First They Killed My Father tackles its subject matter with grace, skill, and empathy, offering a ground-level look at historic atrocities that resonates beyond its story's borders.",87.0
lenfant,"The Dardennes continue to excel at presenting works of rigorous naturalism, with detached observations of authentic characters that nevertheless resonate with complex moral issues.",85.0
heartburn,"Despite an astonishing collection of talent across the board, Heartburn's aimless plot inspires mild indigestion instead of romantic ardor.",45.0
camille claudel 1915,"Camille Claudel, 1915 isn't an easy watch, but Juliette Binoche's excellent performance makes it worth the effort.",80.0
hide and seek,"Robert De Niro and especially Dakota Fanning have earned some praise for their work in Hide and Seek, but critics have called the rest of the film derivative, illogical and somewhat silly.",13.0
captain abu raed,"A poetic and deeply felt debut by director Amin Matalqa, Captain Abu Raed is simultaneously mythic and melodramatic.",80.0
caché,A creepy French psychological thriller that commands the audience's attention throughout.,89.0
diary of a wimpy kid 2 rodrick rules,"Moderately witty and acceptably acted, Diary of a Wimpy Kid 2 isn't much worse than the first installment.",47.0
jonah a veggietales movie,"Jonah teaches wholesome messages to children in a funny, bouncy package.",66.0
korengal,Korengal finds documentarian Sebastian Junger taking another clear-eyed -- and poignantly thought-provoking -- look at the human cost of modern warfare.,86.0
home for the holidays,"Much like a real-life visit Home for the Holidays, this Thanksgiving-set dramedy can get a little bumpy -- but it also has its share of fondly memorable moments.",63.0
bloody nose empty pockets,"An intoxicating blend of documentary and fiction, Bloody Nose, Empty Pockets surveys the bar-going life with a remarkably sober eye.",91.0
arctic tale,"Arctic Tale features breathtaking nature cinematography, but is undone by its over-cutesy narration.",61.0
war on everyone,War on Everyone boasts just enough dark humor and infectious energy to make this somewhat middling entry from writer-director John Michael McDonagh an entertaining diversion.,61.0
